 4, 1, 7, -0.6745    ,   0.000    , 3,  3,  8, 16,  0,  0,  0.3633    ,   1.254    ,  0.4286    ,   0.000    ,   0.000    ,   3.242    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 5, 1, 7,   0.000    ,   0.000    , 4,  3,  4,  7,  8,***,  0.2015    ,  0.9951E-01,  0.4409    ,   1.249    ,   0.000    ,   3.242    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 6, 1, 7,  0.6745    ,   0.000    , 3,  4,  7, 21,***,  0,  0.1021    ,   1.530    ,  0.1008    ,   0.000    ,   0.000    ,   3.242    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 7, 1, 7, -0.6745    ,  0.6745    , 4,  3,  8, 11, 16,432,  0.3415    ,   1.323    ,  0.2744    ,  0.2319    ,   0.000    ,   3.242    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 8, 1, 7,   0.000    ,  0.6745    , 2,  3,  8,  0, 33,  0,  0.2208    ,   1.753    ,   0.000    ,   0.000    ,   0.000    ,   3.242    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 9, 1, 7,  0.6745    ,  0.6745    , 4,  3,  4,  7,  8,192,  0.1232    ,  0.1493    ,  0.2489    ,   1.599    ,   0.000    ,   3.242    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 1, 1, 8, -0.6745    , -0.6745    , 4,  3,  4,  7, 16, 32,  0.2080E-02,  0.1561    ,  0.5569    ,   1.185    ,   0.000    ,   3.449    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 2, 1, 8,   0.000    , -0.6745    , 2,  7, 21,  0,***,  0,   1.602    ,  0.6338E-01,   0.000    ,   0.000    ,   0.000    ,   3.449    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 3, 1, 8,  0.6745    , -0.6745    , 1,  7,***,***,***,***,   1.703    ,   0.000    ,   0.000    ,   0.000    ,   0.000    ,   3.449    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 4, 1, 8, -0.6745    ,   0.000    , 3,  3,  8, 16,  0,  0,  0.3633    ,   1.254    ,  0.4286    ,   0.000    ,   0.000    ,   3.449    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 5, 1, 8,   0.000    ,   0.000    , 4,  3,  4,  7,  8,***,  0.2015    ,  0.9951E-01,  0.4409    ,   1.249    ,   0.000    ,   3.449    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 6, 1, 8,  0.6745    ,   0.000    , 3,  4,  7, 21,***,  0,  0.1021    ,   1.530    ,  0.1008    ,   0.000    ,   0.000    ,   3.449    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 7, 1, 8, -0.6745    ,  0.6745    , 4,  3,  8, 11, 16,432,  0.3415    ,   1.323    ,  0.2744    ,  0.2319    ,   0.000    ,   3.449    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 8, 1, 8,   0.000    ,  0.6745    , 2,  3,  8,  0, 33,  0,  0.2208    ,   1.753    ,   0.000    ,   0.000    ,   0.000    ,   3.449    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 9, 1, 8,  0.6745    ,  0.6745    , 4,  3,  4,  7,  8,192,  0.1232    ,  0.1493    ,  0.2489    ,   1.599    ,   0.000    ,   3.449    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 1, 1, 9, -0.6745    , -0.6745    , 4,  3,  4,  7, 16, 32,  0.2080E-02,  0.1561    ,  0.5569    ,   1.185    ,   0.000    ,   3.656    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 2, 1, 9,   0.000    , -0.6745    , 2,  7, 21,  0,***,  0,   1.602    ,  0.6338E-01,   0.000    ,   0.000    ,   0.000    ,   3.656    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 3, 1, 9,  0.6745    , -0.6745    , 1,  7,***,***,***,***,   1.703    ,   0.000    ,   0.000    ,   0.000    ,   0.000    ,   3.656    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 4, 1, 9, -0.6745    ,   0.000    , 3,  3,  8, 16,  0,  0,  0.3633    ,   1.254    ,  0.4286    ,   0.000    ,   0.000    ,   3.656    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 5, 1, 9,   0.000    ,   0.000    , 4,  3,  4,  7,  8,***,  0.2015    ,  0.9951E-01,  0.4409    ,   1.249    ,   0.000    ,   3.656    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 6, 1, 9,  0.6745    ,   0.000    , 3,  4,  7, 21,***,  0,  0.1021    ,   1.530    ,  0.1008    ,   0.000    ,   0.000    ,   3.656    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 7, 1, 9, -0.6745    ,  0.6745    , 4,  3,  8, 11, 16,432,  0.3415    ,   1.323    ,  0.2744    ,  0.2319    ,   0.000    ,   3.656    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 8, 1, 9,   0.000    ,  0.6745    , 2,  3,  8,  0, 33,  0,  0.2208    ,   1.753    ,   0.000    ,   0.000    ,   0.000    ,   3.656    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 9, 1, 9,  0.6745    ,  0.6745    , 4,  3,  4,  7,  8,192,  0.1232    ,  0.1493    ,  0.2489    ,   1.599    ,   0.000    ,   3.656    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 1, 1,10, -0.6745    , -0.6745    , 4,  3,  4,  7, 16, 32,  0.2080E-02,  0.1561    ,  0.5569    ,   1.185    ,   0.000    ,   3.863    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 2, 1,10,   0.000    , -0.6745    , 2,  7, 21,  0,***,  0,   1.602    ,  0.6338E-01,   0.000    ,   0.000    ,   0.000    ,   3.863    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 3, 1,10,  0.6745    , -0.6745    , 1,  7,***,***,***,***,   1.703    ,   0.000    ,   0.000    ,   0.000    ,   0.000    ,   3.863    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 4, 1,10, -0.6745    ,   0.000    , 3,  3,  8, 16,  0,  0,  0.3633    ,   1.254    ,  0.4286    ,   0.000    ,   0.000    ,   3.863    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 5, 1,10,   0.000    ,   0.000    , 4,  3,  4,  7,  8,***,  0.2015    ,  0.9951E-01,  0.4409    ,   1.249    ,   0.000    ,   3.863    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 6, 1,10,  0.6745    ,   0.000    , 3,  4,  7, 21,***,  0,  0.1021    ,   1.530    ,  0.1008    ,   0.000    ,   0.000    ,   3.863    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 7, 1,10, -0.6745    ,  0.6745    , 4,  3,  8, 11, 16,432,  0.3415    ,   1.323    ,  0.2744    ,  0.2319    ,   0.000    ,   3.863    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 8, 1,10,   0.000    ,  0.6745    , 2,  3,  8,  0, 33,  0,  0.2208    ,   1.753    ,   0.000    ,   0.000    ,   0.000    ,   3.863    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 9, 1,10,  0.6745    ,  0.6745    , 4,  3,  4,  7,  8,192,  0.1232    ,  0.1493    ,  0.2489    ,   1.599    ,   0.000    ,   3.863    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 1, 1,11, -0.6745    , -0.6745    , 4,  3,  4,  7, 16, 32,  0.2080E-02,  0.1561    ,  0.5569    ,   1.185    ,   0.000    ,   4.070    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 2, 1,11,   0.000    , -0.6745    , 2,  7, 21,  0,***,  0,   1.602    ,  0.6338E-01,   0.000    ,   0.000    ,   0.000    ,   4.070    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 3, 1,11,  0.6745    , -0.6745    , 1,  7,***,***,***,***,   1.703    ,   0.000    ,   0.000    ,   0.000    ,   0.000    ,   4.070    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 4, 1,11, -0.6745    ,   0.000    , 3,  3,  8, 16,  0,  0,  0.3633    ,   1.254    ,  0.4286    ,   0.000    ,   0.000    ,   4.070    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 5, 1,11,   0.000    ,   0.000    , 4,  3,  4,  7,  8,***,  0.2015    ,  0.9951E-01,  0.4409    ,   1.249    ,   0.000    ,   4.070    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 6, 1,11,  0.6745    ,   0.000    , 3,  4,  7, 21,***,  0,  0.1021    ,   1.530    ,  0.1008    ,   0.000    ,   0.000    ,   4.070    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 7, 1,11, -0.6745    ,  0.6745    , 4,  3,  8, 11, 16,432,  0.3415    ,   1.323    ,  0.2744    ,  0.2319    ,   0.000    ,   4.070    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 8, 1,11,   0.000    ,  0.6745    , 2,  3,  8,  0, 33,  0,  0.2208    ,   1.753    ,   0.000    ,   0.000    ,   0.000    ,   4.070    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 9, 1,11,  0.6745    ,  0.6745    , 4,  3,  4,  7,  8,192,  0.1232    ,  0.1493    ,  0.2489    ,   1.599    ,   0.000    ,   4.070    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 1, 1,12, -0.6745    , -0.6745    , 4,  3,  4,  7, 16, 32,  0.2080E-02,  0.1561    ,  0.5569    ,   1.185    ,   0.000    ,   4.277    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 2, 1,12,   0.000    , -0.6745    , 2,  7, 21,  0,***,  0,   1.602    ,  0.6338E-01,   0.000    ,   0.000    ,   0.000    ,   4.277    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 3, 1,12,  0.6745    , -0.6745    , 1,  7,***,***,***,***,   1.703    ,   0.000    ,   0.000    ,   0.000    ,   0.000    ,   4.277    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 4, 1,12, -0.6745    ,   0.000    , 3,  3,  8, 16,  0,  0,  0.3633    ,   1.254    ,  0.4286    ,   0.000    ,   0.000    ,   4.277    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
 5, 1,12,   0.000    ,   0.000    , 4,  3,  4,  7,  8,***,  0.2015    ,  0.9951E-01,  0.4409    ,   1.249    ,   0.000    ,   4.277    ,   3.973    ,   1.048    ,   5.494    ,   6.999    ,   1.618    ,   1.388    ,   1.866    ,   2.210    ,  0.8927    ,   1.329    ,   1.606    ,   5.181    ,   1.477    ,   1.089    ,   1.441    ,   4.932    ,   3.423    ,   1.464    ,   1.006    ,   2.088    ,   3.571    ,   4.049    ,   7.854    
